commit	val_bpb	memory_gb	status	description
383abb4	2.667000	26.9	keep	baseline (AdamW, default config)
c67ad2a	2.695369	26.9	discard	lower weight decay to 0.1
909dd59	2.588904	26.9	keep	halve total batch size to 2^16
4161af3	2.533728	26.9	keep	increase matrix LR to 0.04
5efc7aa	1.807902	20.7	keep	reduce depth from 8 to 4
24372fe	1.635916	23.9	keep	Muon+AdamW target scale (DEPTH=6 AR=64 MATRIX_LR=0.02 WD=0.15 NS_STEPS=5) — first M4 Max run
87d43c5	1.648356	23.9	discard	A/B with MUON_NS_STEPS=0 at same config; Muon on wins by 0.012 bpb
1249e47	1.817366	33.8	discard	combo failed: DEVICE_BATCH=32 + MATRIX_LR=0.03 + WARMUP=0.05 regressed by 0.181 bpb; throughput win was noise
6cd22f6	1.898998	31.9	discard	AR=128 scale-up (n_embd=768): PRD matrix-size thesis did not hold on M4 Max; step count fell 57% and Muon could not compensate
851e413	1.760068	26.4	discard	DEPTH=4 AR=128: n_embd went 384->512 (not same as I claimed); step count barely moved; val_bpb +0.124
c30bf75	1.722486	23.8	discard	DEPTH=4 AR=96 (n_embd=384 preserved): 39% more steps but +0.087 bpb -- layer depth matters more than step count on M4 Max
